 , ,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Upper middle-income poverty rate ($6.85 in 2017 PPP),,,,,,,,,,,,,,,,,,,
PERPOV3,Peru,45.68713,42.4357,39.84792,39.27545,37.98904,37.52804,36.36457,37.31818,35.1946,33.5927,48.09361,39.46506,37.82226,38.2761,36.20335,35.3303337097168,34.161003112793,33.3323745727539
ECUPOV3,Ecuador,39.74577,35.85378,32.57333,32.54818,28.69788,29.8208,29.27771,28.30966,28.93632,30.63333,36.04135,33.48093,30.9098,30.81559,32.61796,32.1395512668037,31.8041410442613,31.3815914003247
COLPOV3,Colombia,50.04221,47.24421,45.44664,42.98279,40.83555,40.03727,40.05002,39.58536,39.63154,40.32222,48.04216,43.96242,40.1542,,37.0075073242188,36.2421226501465,35.7496070861816,35.5657539367676
BOLPOV3,Bolivia,,25.27951,25.92187,23.62375,22.57675,22.97846,23.69852,23.084,21.34452,17.81726,19.45015,17.05618,18.49505,16.53165,17.1746120452881,18.4368171691895,19.9182739257813,21.1851692199707
,,,,,,,,,,,,,,,,,,,
Lower middle-income poverty rate ($3.65 in 2017 PPP),,,,,,,,,,,,,,,,,,,
PERPOV2,Peru,19.4199,17.68805,16.13035,15.36017,14.39967,14.00812,13.65186,13.67946,11.84263,10.71149,18.88919,11.17129,10.65117,11.69616,10.65255,10.3308143615723,9.61882877349854,9.24780750274658
ECUPOV2,Ecuador,14.38964,11.89606,10.95711,9.695774,8.182763,9.196754,9.057196,8.3941,9.235459,9.508034,13.45614,10.77459,9.219695,9.955628,12.12239,11.9601188300639,11.7575201479425,11.6886186170863
COLPOV2,Colombia,22.47089,20.04577,18.86116,17.25938,16.11309,14.84832,14.5826,13.95502,14.07862,15.5857,21.41044,18.36013,15.83923,,14.6547002792358,14.2054672241211,13.901538848877,13.8506145477295
BOLPOV2,Bolivia,,10.55087,11.104,9.501202,9.153629,8.79593,10.21253,9.314967,7.946126,5.750437,6.556631,5.533479,5.730185,5.108282,5.544677734375,6.47933864593506,7.50495624542236,8.57344150543213
,,,,,,,,,,,,,,,,,,,
International poverty rate ($2.15 in 2017 PPP),,,,,,,,,,,,,,,,,,,
PERPOV1,Peru,11.20056,10.33993,9.527239,8.616562,7.993311,7.958062,7.469328,7.314063,6.07525,5.419252,10.30816,5.189845,4.840824,5.878739,5.140564,4.99394607543945,4.63903045654297,4.46480321884155
ECUPOV1,Ecuador,7.774476,6.444079,6.029471,4.49024,3.969928,4.770791,4.970065,4.279495,4.692842,4.647916,8.438639,5.275932,4.444918,4.680741,7.313264,7.30204643352318,7.28969052201788,6.97110903411778
COLPOV1,Colombia,13.11065,11.23775,10.88602,9.939407,8.991007,8.078434,7.980627,7.30628,7.37823,8.789068,13.48598,11.22837,9.266202,,8.50073623657227,8.26914119720459,8.07776737213135,8.0495719909668
BOLPOV1,Bolivia,,6.934674,7.876712,6.757829,5.598165,6.209847,7.172521,6.412279,4.695862,3.138594,4.246919,3.054681,3.267122,2.817487,3.03600478172302,3.86587643623352,4.8311038017273,5.71158790588379
,,,,,,,,,,,,,,,,,,,